Aircraft,Seat Width (Club),Seat Pitch (Club),Seat (Club),Seat Width (First Class),Seat Pitch (First Class),Seats (First Class),Seat Width (Business),Seat Pitch (Business),Seats (Business),Seat Width (Eco Comfort),Seat Pitch (Eco Comfort),Seats (Eco Comfort),Seat Width (Economy),Seat Pitch (Economy),Seats (Economy),Accommodation,Cruising Speed (mph),Range (miles),Engines,Wingspan (ft),Tail Height (ft),Length (ft),Wifi,Video,Power,Satellite,Flat-bed,Sleeper,Club,First Class,Business,Eco Comfort,Economy
Airbus A319,0,0,0,21,36,12,0,0,0,17.2,34,18,17.2,30.5,96,126,517,2399,2,111.83,38.583,111,1,0,0,0,0,0,0,1,0,1,1
Airbus A319 VIP,19.4,44,12,19.4,40,28,21,59,14,0,0,0,0,0,0,54,517,3119,2,111.83,38.583,111,1,1,0,0,0,0,1,1,1,0,0
Airbus A320,0,0,0,21,36,12,0,0,0,17.2,34,18,17.2,31.5,120,150,517,2420,2,111.83,38.583,123.25,1,0,0,0,0,0,0,1,0,1,1
Airbus A320 32-R,0,0,0,21,36,12,0,0,0,17.2,34,18,17.2,31.5,120,150,517,2420,2,111.83,38.583,123.25,1,0,0,0,0,0,0,1,0,1,1
Airbus A330-200,0,0,0,0,0,0,21,60,32,18,35,30,18,30.5,181,243,531,6536,2,197.83,59.83,188.67,0,1,1,0,1,0,0,0,1,1,1
Airbus A330-200 (3L2),0,0,0,0,0,0,21,80,34,18,35,32,18,30.5,168,243,531,6536,2,197.83,59.83,188.67,0,1,1,0,0,1,0,0,1,1,1
Airbus A330-200 (3L3),0,0,0,0,0,0,21,80,34,18,35,32,18,30.5,227,293,531,5343,2,197.83,56.33,208.83,0,1,1,0,1,0,0,0,1,1,1
Airbus A330-300,0,0,0,0,0,0,20,60,34,18,35,32,18,30.5,232,298,531,5343,2,197.83,56.33,208.83,0,1,1,0,0,1,0,0,1,1,1
Boeing 717,0,0,0,19.6,37,12,0,0,0,18.1,34,15,18.1,31,83,110,504,1510,2,93.33,29.083,120,1,0,1,0,0,0,0,1,0,1,1
Boeing 737-700 (73W),0,0,0,21,37,12,0,0,0,17.2,34,18,17.2,30.5,94,124,517,2925,2,117.416,41.167,110.33,1,1,1,1,0,0,0,1,0,1,1
Boeing 737-800 (738),0,0,0,21,37,16,0,0,0,17.2,34,18,17.2,30.5,126,124,517,2925,2,117.416,41.167,110.33,1,1,1,1,0,0,0,1,0,1,1
Boeing 737-800 (73H),0,0,0,21,38,16,0,0,0,17.2,34,18,17.2,30.5,126,160,517,2850,2,117.416,41.167,129.5,1,1,1,1,0,0,0,1,0,1,1
Boeing 737-900ER (739),0,0,0,21,37,20,0,0,0,17.2,34,21,17.2,30.5,139,180,517,2870,2,117.416,41.167,138.167,1,1,1,0,0,0,0,1,0,1,1
Boeing 747-400 (74S),0,0,0,0,0,0,20.5,82,48,17.2,35,42,17.2,30.5,286,376,564,7365,4,213,62.5416,231.83,0,1,1,0,1,0,0,0,1,1,1
Boeing 757-200 (75A),0,0,0,21,40,24,0,0,0,17.2,35,18,17.2,31,132,174,517,4344,2,134.75,44.5,155.25,0,1,0,0,0,0,0,1,0,1,1
Boeing 757-200 (75E),0,0,0,0,0,0,21,54.5,16,17.2,35,25,17.2,30.5,130,171,517,4705,2,134.75,44.5,155.25,1,1,1,0,0,1,0,0,1,1,1
Boeing 757-200 (75M),0,0,0,21,37,22,0,0,0,17.2,34.5,18,17.2,31,141,181,517,2854,2,134.75,44.5,155.25,1,0,0,0,0,0,0,1,0,1,1
Boeing 757-200 (75N),0,0,0,21,37,22,0,0,0,17.2,34,19,17.2,31.5,141,182,517,2854,2,134.75,44.5,155.25,1,0,0,0,0,0,0,1,0,1,1
Boeing 757-200 (757),0,0,0,21,37.5,24,0,0,0,17.2,34.5,20,17.2,31.5,136,180,517,3393,2,111.83,38.583,123.25,1,1,0,0,0,0,0,1,0,1,1
Boeing 757-200 (75V),0,0,0,21,45,22,0,0,0,17.2,34.5,21,17.2,32,132,175,517,3764,2,134.75,44.5,155.25,1,1,0,0,0,0,0,1,0,1,1
Boeing 757-200 (75X),0,0,0,0,0,0,21,38,26,17.2,34,26,17.2,31.5,132,184,517,3764,2,134.75,44.5,155.25,1,1,1,1,0,0,0,0,1,1,1
Boeing 757-300,0,0,0,21,37,24,0,0,0,17.2,34,23,17.2,31,177,224,517,3228,2,124.83,45.083,177.416,1,1,0,0,0,0,0,1,0,1,1
Boeing 767-300 (76G),0,0,0,0,0,0,18.5,60,30,17.9,35,38,17.9,31.5,140,208,517,6408,2,156.083,52,180.25,0,1,1,0,0,1,0,0,1,1,1
Boeing 767-300 (76L),0,0,0,0,0,0,21,78.95,36,17.9,35,32,17.9,31.5,143,211,517,6408,2,156.083,52,180.25,0,1,1,0,1,0,0,0,1,1,1
Boeing 767-300 (76P),0,0,0,18.5,37.5,30,0,0,0,17.9,34,28,17.9,31.5,203,261,517,3515,2,156.083,52,180.25,1,1,1,1,0,0,0,1,0,1,1
Boeing 767-300 (76Q),0,0,0,18.5,37.5,30,0,0,0,17.9,34,28,17.9,31.5,203,261,517,3515,2,156.083,52,180.25,1,1,1,1,0,0,0,1,0,1,1
Boeing 767-300 (76T),0,0,0,0,0,0,21,78.95,36,17.9,35,29,17.9,31.5,143,208,517,6640,2,156.083,52,180.25,0,1,1,0,1,0,0,0,1,1,1
Boeing 767-300 (76U),0,0,0,18.5,60,36,0,0,0,17.9,35,31,17.9,31.5,143,210,517,6408,2,156.083,52,180.25,0,1,1,0,0,1,0,0,1,1,1
Boeing 767-300 (76Z V.1),0,0,0,0,0,0,21,78.95,26,17.9,35,35,17.9,31.5,171,226,517,6221,2,156.083,52,180.25,0,1,1,0,1,0,0,0,1,1,1
Boeing 767-300 (76Z V.2),0,0,0,0,0,0,21,78.95,26,17.9,35,29,17.9,31.5,171,226,517,6221,2,156.083,52,180.25,0,1,1,0,0,1,0,0,1,1,1
Boeing 767-400 (76D),0,0,0,0,0,0,21,78.95,40,17.9,35,28,17.9,31.5,178,246,517,6336,2,171,54.917,201.33,0,1,1,0,1,0,0,0,1,1,1
Boeing 777-200ER,0,0,0,0,0,0,21,78,45,18.5,36,36,18.5,31.5,188,269,550,8542,2,212.583,61.33,209.083,0,1,1,0,1,0,0,0,1,1,1
Boeing 777-200LR,0,0,0,0,0,0,21,78,45,18.5,35,36,18.5,31.5,188,269,550,10375,2,212.583,61.33,209.083,0,1,1,0,1,0,0,0,1,1,1
CRJ 100/200 Pinnacle/SkyWest,0,0,0,0,0,0,0,0,0,0,0,0,17.3,31,50,50,488,1265,2,69.583,20.416,87.83,0,0,0,0,0,0,0,0,0,0,1
CRJ 100/200 ExpressJet,0,0,0,0,0,0,0,0,0,0,0,0,17.3,31,50,50,488,1265,2,69.583,20.416,87.83,0,0,0,0,0,0,0,0,0,0,1
CRJ 700,0,0,0,19.6,36,9,0,0,0,17.3,34,8,17.3,31,48,65,515,1650,2,76.25,24.83,106.083,1,0,0,0,0,0,0,1,0,1,1
CRJ 900,0,0,0,19.6,37,12,0,0,0,17.3,34,12,17.3,31,52,76,515,1744,2,81.583,24.583,118.916,1,0,0,0,0,0,0,1,0,1,1
E120,0,0,0,0,0,0,0,0,0,0,0,0,18.2,31,28,28,364,920,2,64.916,20.83,65.583,0,0,0,0,0,0,0,0,0,0,1
E170,0,0,0,20,37,9,0,0,0,18.25,34,12,18.25,31,48,69,545,1800,2,85.416,32.33,98.083,1,0,0,0,0,0,0,1,0,1,1
E175,0,0,0,20,37,12,0,0,0,18.25,34,12,18.25,31,52,76,545,1800,2,85.416,31.916,103.916,1,0,0,0,0,0,0,1,0,1,1
ERJ-145,0,0,0,0,0,0,0,0,0,0,0,0,17.3,31,50,50,517,1496,2,65.75,22.167,98,0,0,0,0,0,0,0,0,0,0,1
MD-88,0,0,0,19.6,37,16,0,0,0,18.1,34,15,18.1,32,118,149,498,1510,2,107.83,30.5,147.83,1,0,1,0,0,0,0,1,0,1,1
MD-90,0,0,0,19.6,37,16,0,0,0,18.1,34,15,18.1,31.5,129,160,498,1992,2,107.83,30.583,152.583,1,0,1,0,0,0,0,1,0,1,1
MD-DC9-50,0,0,0,19.6,38,16,0,0,0,18.1,35,14,18.1,31,90,120,504,731,2,93.83,27.5,133.5,1,0,0,0,0,0,0,1,0,1,1
